,Position,Candidate,Website,Vendor,Payment,Violation #,Description,Help,HelpUrl,Id,Impact,Tags,Website 
198,Tsimerman,Tsimerman,,,,4,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",AlexforAmerica.com
199,Echner,Echner,,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://coreyeichner.com/
200,Echner,Echner,,,,2,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",https://coreyeichner.com/
201,Echner,Echner,,,,3,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",https://coreyeichner.com/
202,Echner,Echner,,,,4,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",https://coreyeichner.com/
203,Echner,Echner,,,,5,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",https://coreyeichner.com/
204,Gunther,Gunther,,,,1,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://www.xtiangunther.com/
205,Nelson,Nelson,,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",https://www.saraforcitycouncil.com/issues
206,Nelson,Nelson,,,,2,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",https://www.saraforcitycouncil.com/issues
207,Nelson,Nelson,,,,3,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/3.1/tabindex?application=axeAPI,tabindex,serious,"['cat.keyboard', 'best-practice']",https://www.saraforcitycouncil.com/issues
208,Oliver,Oliver,Mariahlyn Okuna,,,1,Ensures every id attribute value is unique,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.1/duplicate-id?application=axeAPI,duplicate-id,minor,"['cat.parsing', 'wcag2a', 'wcag411']",https://nikkitafornine.com/
209,Oliver,Oliver,Mariahlyn Okuna,,,2,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",https://nikkitafornine.com/
210,Oliver,Oliver,Mariahlyn Okuna,,,3,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",https://nikkitafornine.com/
211,Thomas ,Thomas ,Upper Left,,,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",peopleforbrianna.org
212,Thomas ,Thomas ,Upper Left,,,2,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/3.1/heading-order?application=axeAPI,heading-order,moderate,"['cat.semantics', 'best-practice']",peopleforbrianna.org
213,Thomas ,Thomas ,Upper Left,,,3,Ensures <img> elements have alternate text or a role of none or presentation,Images must have alternate text,https://dequeuniversity.com/rules/axe/3.1/image-alt?application=axeAPI,image-alt,critical,"['cat.text-alternatives', 'wcag2a', 'wcag111', 'section508', 'section508.22.a']",peopleforbrianna.org
214,Thomas ,Thomas ,Upper Left,,,4,Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/3.1/label?application=axeAPI,label,critical,"['cat.forms', 'wcag2a', 'wcag332', 'wcag131', 'section508', 'section508.22.n']",peopleforbrianna.org
215,Thomas ,Thomas ,Upper Left,,,5,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",peopleforbrianna.org
216,Thomas ,Thomas ,Upper Left,,,6,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/3.1/tabindex?application=axeAPI,tabindex,serious,"['cat.keyboard', 'best-practice']",peopleforbrianna.org
